Unnamed: 0,Lat,Lon,Id,Source,turbidity,SED_1,SED_2,SED_3,x,y
11304810,37.93546702,-121.3302259,11304810,nwis,2.5,1.388888889,1.388888889,1.388888889,646735.2012309103,4199969.683389489
11312676,37.94266627,-121.5338075,11312676,nwis,1.9,1.0555555559999998,1.0555555559999998,1.0555555559999998,628831.4040277734,4200467.429896185
11313315,37.89103627,-121.57022830000001,11313315,nwis,1.9,1.0555555559999998,1.0555555559999998,1.0555555559999998,625718.8840540326,4194688.872502783
11313433,38.0130657,-121.67086200000001,11313433,nwis,8.1,4.5,4.5,4.5,616676.6113208429,4208098.204194593
11336600,38.24477822,-121.50523840000001,11336600,nwis,1.5,0.833333333,0.833333333,0.833333333,630802.1634136003,4234030.560526724
11336790,38.09638889,-121.49611100000001,11336790,nwis,1.0,0.5555555560000001,0.5555555560000001,0.5555555560000001,631868.0786086328,4217577.565388321
11447830,38.32841998,-121.57735490000002,11447830,nwis,1.4,0.7777777779999999,0.7777777779999999,0.7777777779999999,624348.3299477726,4243212.430905704
11447850,38.28477024,-121.5867841,11447850,nwis,1.5,0.833333333,0.833333333,0.833333333,623598.1886750384,4238356.151048534
11447890,38.25752555,-121.51798319999999,11447890,nwis,1.8,1.0,1.0,1.0,629664.1876830629,4235427.136520767
11447903,38.23726412,-121.5176741,11447903,nwis,1.7,0.944444444,0.944444444,0.944444444,629727.2498641921,4233179.24959948
11455315,38.2431666,-121.68456670000002,11455315,nwis,10.0,5.555555556,5.555555556,5.555555556,615111.5214179504,4233613.448366144
11455335,38.256111100000005,-121.66666670000001,11455335,nwis,3.2,1.7777777780000001,1.7777777780000001,1.7777777780000001,616657.291513587,4235072.237677199
11455780,38.04492057,-122.12663229999998,11455780,nwis,22.5,12.5,12.5,12.5,576633.2746509651,4211159.0329950135
3.74938E+14,37.82722222,-122.42166670000002,3.74938E+14,nwis,5.9,3.277777778,3.277777778,3.277777778,550895.2329462558,4186802.781402736
3.75607E+14,37.93527778,-122.4463889,3.75607E+14,nwis,13.4,7.444444444,7.444444444,7.444444444,548648.4491897647,4198778.486196946
B9409500,38.10611110000001,-121.57111100000002,B9409500,wdl,1.4,0.7777777779999999,0.7777777779999999,0.7777777779999999,625274.7830051812,4218552.490657191
B9502900,38.0325,-121.71908300000001,B9502900,wdl,13.0,7.222222222,7.222222222,7.222222222,612413.7189978568,4210195.23037232
B9504400,38.055833299999996,-121.66694440000002,B9504400,wdl,7.8,4.333333333,4.333333333,4.333333333,616952.4880926446,4212848.619957329
B9510800,38.0711111,-121.5788889,B9510800,wdl,5.0,2.777777778,2.777777778,2.777777778,624652.272901227,4214658.351992187
B9512000,38.01638889,-121.58194440000001,B9512000,wdl,8.1,4.5,4.5,4.5,624476.8794402233,4208582.2162917685
B9520000,38.027222200000004,-121.56444440000001,B9520000,wdl,5.7,3.166666667,3.166666667,3.166666667,625994.5512780537,4209807.857121643
B9528500,37.8708333,-121.53,B9528500,wdl,1.4,0.7777777779999999,0.7777777779999999,0.7777777779999999,629291.6444727604,4192502.1622363566
B9529500,37.82013889,-121.5446111,B9529500,wdl,3.9,2.166666667,2.166666667,2.166666667,628094.159573113,4186857.0619622143
B9545800,38.00305556,-121.51089850000001,B9545800,wdl,3.0,1.6666666669999999,1.6666666669999999,1.6666666669999999,630737.3042365854,4207200.200676665
B9550000,37.890778000000005,-121.48836100000001,B9550000,wdl,1.7,0.944444444,0.944444444,0.944444444,632918.289410597,4194773.729287087
B9553100,37.876222,-121.383306,B9553100,wdl,1.6,0.8888888890000001,0.8888888890000001,0.8888888890000001,642184.3476127523,4193313.5114672254
B9561600,37.9925,-121.4538889,B9561600,wdl,2.13,1.183333333,1.183333333,1.183333333,635762.2786130288,4206110.5860953545
