date,RSAC155,RSAN112,BYOLO040,RCSM075,RMKL070,RCAL009,CHWST000,CHDMC004,SLBAR002,CHCCC006,CHSWP003,CHVCT001,ROLD034
1/1/2014,5609,1233,82,135,173,27,700,800,100,100,650,0,0
2/1/2014,4771,1162,105,185,186,24,700,800,100,100,650,0,0
3/1/2014,4764,1448,142,343,132,30,700,800,100,100,650,0,0
4/1/2014,4862,1770,249,315,170,63,700,800,100,100,650,0,0
5/1/2014,5306,1817,433,122,162,144,700,800,100,100,650,0,0
6/1/2014,5356,648,532,39,39,183,700,800,100,100,650,0,0
7/1/2014,6232,387,548,14,29,193,700,800,100,100,650,0,0
8/1/2014,5838,335,448,5,33,178,700,800,100,100,650,0,0
9/1/2014,4791,401,326,3,33,128,700,800,100,100,650,0,0
10/1/2014,3406,1233,118,9,102,46,700,800,100,100,650,0,0
11/1/2014,3405,1103,43,24,173,33,700,800,100,100,650,0,0
12/1/2014,5703,1083,82,55,180,28,700,800,100,100,650,0,0
